,WHO Region,WHO Country Name,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
95,Eastern Mediterranean Region,Pakistan,2011,66.1,30.397151590409777,20.617833854804335
96,Eastern Mediterranean Region,Pakistan,2013,36.5,148.17,20.617833854804335
97,Eastern Mediterranean Region,Pakistan,2018,37.83,30.397151590409777,29.2
98,Eastern Mediterranean Region,Pakistan,2019,287.42,121.58860636163911,84.393501564413
99,Eastern Mediterranean Region,Qatar,2016,114.0,419.0,61.85350156441301
100,Eastern Mediterranean Region,Qatar,2017,44.0,148.0,29.0
101,Eastern Mediterranean Region,Qatar,2018,44.0,181.0,47.0
102,Eastern Mediterranean Region,Qatar,2019,41.0,208.0,42.0
103,Eastern Mediterranean Region,Saudi Arabia,2014,72.96522161872193,425.0,41.23566770960867
104,Eastern Mediterranean Region,Saudi Arabia,2015,69.0,85.0,20.617833854804335
105,Eastern Mediterranean Region,Saudi Arabia,2016,86.0,119.0,20.617833854804335
106,Eastern Mediterranean Region,Saudi Arabia,2017,75.0,115.7,20.617833854804335
107,Eastern Mediterranean Region,Saudi Arabia,2019,34.12,30.397151590409777,20.617833854804335
108,Eastern Mediterranean Region,Tunisia,2010,91.86088647488768,315.0,82.47133541921734
109,Eastern Mediterranean Region,United Arab Emirates,2011,68.89566485616575,458.6,63.3
110,Eastern Mediterranean Region,United Arab Emirates,2012,68.89566485616575,454.39,83.39
111,Eastern Mediterranean Region,United Arab Emirates,2013,68.89566485616575,396.69,74.36
112,Eastern Mediterranean Region,United Arab Emirates,2014,68.89566485616575,317.23,84.5
113,Eastern Mediterranean Region,United Arab Emirates,2015,68.89566485616575,425.44,78.39
114,Eastern Mediterranean Region,United Arab Emirates,2017,124.6508864748877,496.4871515904098,220.21000000000004
115,Eastern Mediterranean Region,United Arab Emirates,2018,171.95566485616578,563.5899999999999,197.39
116,Eastern Mediterranean Region,United Arab Emirates,2019,160.17566485616578,517.82,175.47
117,European Region,Albania,2014,22.96522161872192,15.25,20.617833854804335
118,European Region,Albania,2015,112.47566485616575,132.26715159040978,94.95783385480433
119,European Region,Albania,2016,88.89044323744383,117.8771515904098,84.17783385480433
120,European Region,Albania,2017,22.96522161872192,30.397151590409777,24.7
121,European Region,Albania,2019,10.32,30.397151590409777,20.617833854804335
122,European Region,Andorra,2012,22.96522161872192,27.5,31.64
123,European Region,Andorra,2014,22.96522161872192,25.03,27.62
124,European Region,Andorra,2015,22.96522161872192,27.04,26.65
125,European Region,Andorra,2016,22.96522161872192,26.26,26.98
126,European Region,Andorra,2017,22.96522161872192,26.3,28.74
127,European Region,Andorra,2018,22.96522161872192,23.2,26.55
128,European Region,Andorra,2019,22.96522161872192,24.58,31.01
129,European Region,Austria,2010,2590.313048347078,2737.588667494508,2533.909169274021
130,European Region,Austria,2013,2547.4460537785812,2660.7273349890165,2482.4261724028465
131,European Region,Austria,2014,2391.304280828806,2362.423031808195,2283.12050469324
132,European Region,Austria,2015,2441.7703889224144,2544.7030929410653,2364.9183385480446
133,European Region,Austria,2016,2331.143394353918,2246.525880217785,2262.3105046932387
134,European Region,Austria,2017,2348.4281727351963,2303.9658802177855,2294.026172402848
135,European Region,Austria,2018,2302.52250787903,2391.6901833986058,2049.132670838435
136,European Region,Austria,2019,2248.222951116474,2080.805880217785,1961.632670838435
137,European Region,Belgium,2010,1217.5931998927103,1617.1987286273752,1449.937003128826
138,European Region,Belgium,2013,1218.4627566552665,1597.5715770369657,1497.311335419217
139,European Region,Belgium,2014,1147.4623134178228,1503.4315770369658,1408.3691692740222
140,European Region,Belgium,2015,1019.5039891369942,1532.3187286273758,1385.1791692740217
141,European Region,Belgium,2016,987.8887675182721,1466.841577036966,1401.3970031288259
142,European Region,Belgium,2017,970.3839891369944,1436.1315770369658,1378.417003128826
143,European Region,Belgium,2018,909.3083242808287,1395.0772738561463,1204.787003128826
144,European Region,Belgium,2019,857.9783242808286,1333.4372738561467,1171.359169274022
145,European Region,Bosnia and Herzegovina,2010,87.73522161872191,80.00715159040978,51.58
146,European Region,Bosnia and Herzegovina,2016,290.3665513310534,378.7486063616391,190.55350156441298
147,European Region,Bosnia and Herzegovina,2017,379.67177294977535,432.0357579520489,268.51133541921735
148,European Region,Bosnia and Herzegovina,2018,260.40655133105344,408.18145477122937,194.84783385480435
149,European Region,Bosnia and Herzegovina,2019,254.66132971233154,338.7943031808196,188.233501564413
150,European Region,Bulgaria,2010,650.0844323744383,1257.68,592.4961724028476
151,European Region,Bulgaria,2013,621.9596539931601,1108.6171515904095,536.4161724028478
152,European Region,Bulgaria,2014,634.4196539931602,1150.4971515904097,549.0396739672608
153,European Region,Bulgaria,2015,648.0300972306039,1053.5171515904096,539.8340062576519
154,European Region,Bulgaria,2016,601.374875611882,943.8443031808197,549.5161724028478
155,European Region,Bulgaria,2017,642.1948756118819,984.4699999999998,559.6340062576521
156,European Region,Bulgaria,2018,596.3944323744382,887.7571515904098,519.6540062576522
157,European Region,Bulgaria,2019,621.004875611882,841.0900000000001,561.4518401124565
158,European Region,Croatia,2010,114.8261080936096,133.32,106.46000000000001
159,European Region,Croatia,2013,137.87088647488767,186.29715159040978,122.20566770960866
160,European Region,Croatia,2014,197.90132971233155,247.22430318081956,175.82133541921735
161,European Region,Croatia,2015,262.6413297123315,364.6014547712294,282.88483698363035
162,European Region,Croatia,2016,316.2265513310535,436.4029095424587,311.88483698363035
163,European Region,Croatia,2017,316.24655133105347,442.9800611328685,342.4926708384347
164,European Region,Croatia,2018,394.81699456849725,555.2572127232781,368.200504693239
165,European Region,Croatia,2019,297.9065513310535,433.1500611328684,315.6148369836303
166,European Region,Cyprus,2010,100.24,196.59430318081954,98.473501564413
167,European Region,Cyprus,2013,79.78999999999999,171.55430318081955,94.783501564413
168,European Region,Cyprus,2014,81.00999999999999,161.76430318081955,94.613501564413
169,European Region,Cyprus,2015,79.77000000000001,164.00430318081956,95.77350156441301
170,European Region,Cyprus,2016,69.03999999999999,177.89430318081955,110.52350156441301
171,European Region,Cyprus,2017,68.61999999999999,137.85715159040979,86.33566770960867
172,European Region,Cyprus,2018,64.71000000000001,162.9671515904098,84.29566770960867
173,European Region,Cyprus,2019,52.099999999999994,102.84715159040978,71.06566770960868
174,European Region,Czechia,2010,2199.19507007309,2768.075757952048,1878.7163510633468
175,European Region,Czechia,2013,1885.1819674109827,2254.582909542458,1641.8011880469774
176,European Region,Czechia,2014,1840.6819674109822,2207.28290954246,1575.9955203373686
177,European Region,Czechia,2015,1632.821080936095,1844.3500611328677,1402.7463510633465
178,European Region,Czechia,2016,1998.0801944612076,2166.572909542458,1724.6660250306074
179,European Region,Czechia,2017,1962.384529605042,2141.2186063616396,1684.1303573209982
180,European Region,Czechia,2018,2051.219751223764,2355.605757952049,1673.322523466194
181,European Region,Czechia,2019,1858.7345296050414,2030.137212723278,1739.6725234661938
182,European Region,Denmark,2010,91.19044323744384,116.58715159040979,126.64999999999999
183,European Region,Denmark,2013,113.14566485616575,178.13145477122933,126.96000000000001
184,European Region,Denmark,2014,108.67566485616577,141.32715159040976,108.00999999999999
185,European Region,Denmark,2015,148.5961080936096,204.2086063616391,100.33
186,European Region,Denmark,2016,155.9861080936096,238.5729095424587,115.05
187,European Region,Denmark,2017,138.89088647488768,223.9257579520489,107.59
188,European Region,Denmark,2018,152.9708864748877,227.0986063616391,108.6
189,European Region,Denmark,2019,143.0708864748877,215.83860636163908,96.33
190,European Region,Estonia,2010,69.32522161872193,139.64430318081955,59.65
191,European Region,Estonia,2013,46.519999999999996,130.00430318081956,72.47783385480433
192,European Region,Estonia,2014,52.56,132.50430318081953,50.51
193,European Region,Estonia,2015,77.74044323744383,140.53145477122933,43.52
194,European Region,Estonia,2016,36.43,117.84430318081957,45.05
195,European Region,Estonia,2017,31.849999999999998,112.72430318081956,38.599999999999994
196,European Region,Estonia,2018,42.67,126.38430318081956,45.54
197,European Region,Estonia,2019,36.78,126.03430318081955,44.68
198,European Region,Finland,2010,469.7935458995507,463.3514547712294,507.9383385480435
199,European Region,Finland,2013,473.70876751827245,463.3186063616392,498.58617240284775
200,European Region,Finland,2014,496.9387675182726,531.6357579520488,513.7683385480434
201,European Region,Finland,2015,470.1987675182726,440.6314547712293,486.54833854804343
202,European Region,Finland,2016,424.65832428082877,401.47145477122933,446.62050469323896
203,European Region,Finland,2017,407.6583242808288,345.45430318081947,448.2861724028477
204,European Region,Finland,2018,468.6287675182725,462.74860636163913,440.45833854804334
205,European Region,Finland,2019,477.07398913699456,417.71860636163916,405.760504693239
206,European Region,France,2010,7877.114712666857,9275.880794727289,8169.40201877295
207,European Region,France,2014,123.84610809360962,172.58145477122932,73.24783385480434
208,European Region,France,2015,7000.242302018413,8002.0235208711365,7280.086025030603
209,European Region,France,2016,6819.647966874581,7489.682188365647,6833.16169274021
210,European Region,France,2017,6652.900972306074,7314.563459738274,6786.900031288263
